2 Completed Recording Time (us),3 Outputting Response Time (us)
5966085,7052038
6088170,7117953
6149105,7354508
4807052,5898425
6024510,6811257
3865079,5093933
6037090,7314008
5981085,7155248
5920000,7139463
6048095,7233003
4191021,5332379
5922090,7281269
5919095,7166294
2706046,3928214
2720202,3646479
5969100,7276468
5745095,7026823
5947079,7176098
5911405,6877032
4451076,5487864
2605016,3837009
6100440,7465858
2568601,3934530
6118171,7347014
5922101,7241859
6209391,7308699
5946100,7466859
5959091,7378084
5811455,7043333
6066061,7149009
5953610,7224763
5973206,6822848
5950090,7130443
5837784,7137213
6006760,7076268
6586117,7859300
6012635,7062433
3165048,4351711
5124133,6205476
2902117,4101945